,source,target,relationship,sentiment,url,date
0,Donald Trump,women,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
1,Donald Trump,President Biden,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
2,Donald Trump,Marco Rubio,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
3,Donald Trump,Ted Cruz,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
4,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
5,Donald Trump,Hillary Clinton,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
6,Donald Trump,Megyn Kelly,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
7,Donald Trump,Carly Fiorina,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
8,Donald Trump,Hillary Clinton,opposes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
9,Karoline Leavitt,Donald Trump,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
10,Donald Trump,Vladimir Putin,accuses,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
11,Hillary Clinton,Donald Trump,accuses,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
12,Donald Trump,Bill Clinton,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
13,Carly Fiorina,Donald Trump,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
14,Hillary Clinton,Donald Trump,opposes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
15,Kamala Harris,Mr. Trump,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11
16,Mr. Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11
17,Rob Rue,Springfield,leads,NEUTRAL,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
18,Donald Trump,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
19,JD Vance,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
20,Nathan Clark,JD Vance,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
21,Ted Cruz,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
22,Elon Musk,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
23,Mike DeWine,Springfield,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
24,Vilés Dorsainvil,Haitians,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
25,Luke Schroeder,JD Vance,represents,NEUTRAL,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
