source,target,relationship,sentiment,url,article_source,date
Emmanuel Macron,Lebanon,supports,FRIENDLY,https://www.rfi.fr/en/international/20250328-macron-hosts-lebanon-s-president-reiterating-french-support-for-sovereignty,french,2025-03-28
Algiers,French far right,blames,HOSTILE,https://www.rfi.fr/en/middle-east/20250227-algeria-blames-french-far-right-as-relations-with-former-colonial-ruler-fray,french,2025-02-27
Paris,Algeria,opposes,HOSTILE,https://www.rfi.fr/en/middle-east/20250227-algeria-blames-french-far-right-as-relations-with-former-colonial-ruler-fray,french,2025-02-27
Emmanuel Macron,Elon Musk,criticizes,HOSTILE,https://www.rfi.fr/en/international/20250108-macron-starmer-join-forces-to-tackle-musk-interference-in-european-affairs,french,2025-01-08
Starmer,Elon Musk,criticizes,HOSTILE,https://www.rfi.fr/en/international/20250108-macron-starmer-join-forces-to-tackle-musk-interference-in-european-affairs,french,2025-01-08
Emmanuel Macron,Haiti,criticizes,HOSTILE,https://www.rfi.fr/en/international/20241122-macron-s-criticism-of-haiti-leaders-sparks-diplomatic-row-with-former-colony,french,2024-11-22
Haiti,France,opposes,HOSTILE,https://www.rfi.fr/en/international/20241122-macron-s-criticism-of-haiti-leaders-sparks-diplomatic-row-with-former-colony,french,2024-11-22
Emmanuel Macron,United States,opposes,HOSTILE,https://www.rfi.fr/en/france/20250404-french-industry-leaders-backs-macron-s-call-to-freeze-us-investments,french,2025-04-04
M23,Congolese forces,opposes,HOSTILE,https://www.rfi.fr/en/podcasts/spotlight-on-africa/20250218-the-crisis-in-the-drc-and-the-african-union-response,french,2025-02-18
Emmanuel Macron,France,leads,NEUTRAL,https://www.rfi.fr/en/france/20250319-macron-says-france-to-increase-orders-for-rafale-warplanes,french,2025-03-19
Emmanuel Macron,France,leads,NEUTRAL,https://www.rfi.fr/en/france/20250317-macron-takes-stock-of-small-nuclear-projects-with-focus-on-energy-transition,french,2025-03-17
Luc Remont,EDF,leads,NEUTRAL,https://www.rfi.fr/en/international-news/20241221-france-s-most-powerful-nuclear-reactor-finally-comes-on-stream,french,2024-12-21
Israel,Hamas,partners with,NEUTRAL,https://www.rfi.fr/en/international/20250115-qatar-announces-israel-hamas-ceasefire-and-hostage-swap-after-15-month-conflict,french,2025-01-15
Donald Trump,Romania,supports,NEUTRAL,https://www.rfi.fr/en/international-news/20250518-trumpist-faces-pro-eu-mayor-in-tight-romania-presidential-rerun,french,2025-05-18
US border agents,French space scientist,accuses,HOSTILE,https://www.rfi.fr/en/international-news/20250320-us-denies-entry-to-french-scientist-over-hateful-messages,french,2025-03-20
France,US border agents,criticizes,HOSTILE,https://www.rfi.fr/en/international-news/20250320-us-denies-entry-to-french-scientist-over-hateful-messages,french,2025-03-20
Mali,Ecowas,opposes,HOSTILE,https://www.rfi.fr/en/africa/20250129-three-sahel-nations-exit-west-african-bloc-as-regional-politics-shift,french,2025-01-29
Niger,Ecowas,opposes,HOSTILE,https://www.rfi.fr/en/africa/20250129-three-sahel-nations-exit-west-african-bloc-as-regional-politics-shift,french,2025-01-29
Burkina Faso,Ecowas,opposes,HOSTILE,https://www.rfi.fr/en/africa/20250129-three-sahel-nations-exit-west-african-bloc-as-regional-politics-shift,french,2025-01-29
France,European Union,urges,NEUTRAL,https://www.rfi.fr/en/international/20250226-france-calls-for-robust-eu-cooperation-on-immigration-deportations,french,2025-02-26
Denmark,Washington,supports,FRIENDLY,https://www.rfi.fr/en/international-news/20250326-denmark-welcomes-us-limiting-greenland-visit-to-military-base,french,2025-03-26
Emmanuel Macron,Blinken,supports,FRIENDLY,https://www.rfi.fr/en/france/20250108-blinken-honoured-in-france-as-top-diplomat-shrugs-off-trump-s-jabs-ahead-of-transition,french,2025-01-08
Donald Trump,Blinken,opposes,HOSTILE,https://www.rfi.fr/en/france/20250108-blinken-honoured-in-france-as-top-diplomat-shrugs-off-trump-s-jabs-ahead-of-transition,french,2025-01-08
National Rally,snap elections,leads,NEUTRAL,https://www.rfi.fr/en/france/20240702-tues-8am-results-from-first-round-of-france-s-snap-elections-mapped-out-rn-far-right,french,2024-07-02
Emmanuel Macron,Ukraine,opposes,HOSTILE,https://www.rfi.fr/en/international/20250225-europe-ready-to-step-up-defence-commitments-in-ukraine-macron,french,2025-02-25
Emmanuel Macron,Europe,supports,FRIENDLY,https://www.rfi.fr/en/international/20250225-europe-ready-to-step-up-defence-commitments-in-ukraine-macron,french,2025-02-25
Iran's foreign ministry,United States,partners with,NEUTRAL,https://www.rfi.fr/en/international-news/20250413-iran-says-talks-with-us-to-focus-solely-on-nuclear-issue-lifting-sanctions,french,2025-04-13
Emmanuel Macron,La Réunion,supports,NEUTRAL,https://www.rfi.fr/en/france/20250423-macron-promises-vaccines-as-chikungunya-kills-baby-on-reunion-island,french,2025-04-23
Marco Rubio,Ukraine,partners with,NEUTRAL,https://www.rfi.fr/en/international-news/20250418-france-hails-positive-process-as-europe-us-discuss-ukraine-ceasefire,french,2025-04-18
