source,target,relationship,sentiment,url,article_source,date,is_relevant
Emmanuel Macron,Elon Musk,criticizes,HOSTILE,https://www.rfi.fr/en/international/20250108-macron-starmer-join-forces-to-tackle-musk-interference-in-european-affairs,french,2025-01-08,1.0
Starmer,Elon Musk,criticizes,HOSTILE,https://www.rfi.fr/en/international/20250108-macron-starmer-join-forces-to-tackle-musk-interference-in-european-affairs,french,2025-01-08,1.0
Emmanuel Macron,United States,opposes,HOSTILE,https://www.rfi.fr/en/france/20250404-french-industry-leaders-backs-macron-s-call-to-freeze-us-investments,french,2025-04-04,1.0
Emmanuel Macron,France,leads,NEUTRAL,https://www.rfi.fr/en/france/20250319-macron-says-france-to-increase-orders-for-rafale-warplanes,french,2025-03-19,1.0
Emmanuel Macron,France,leads,NEUTRAL,https://www.rfi.fr/en/france/20250317-macron-takes-stock-of-small-nuclear-projects-with-focus-on-energy-transition,french,2025-03-17,1.0
Emmanuel Macron,National Assembly,leads,NEUTRAL,https://www.france24.com/en/europe/20240611-france-dissolution-parliament-snap-elections-how-it-works-what-next-macron,french,2024-06-11,1.0
Emmanuel Macron,Michel Barnier,leads,NEUTRAL,https://www.france24.com/en/live-news/20240921-france-s-macron-appoints-new-government-in-shift-to-right,french,2024-09-21,1.0
Emmanuel Macron,prime minister,leads,NEUTRAL,https://www.france24.com/en/france/20241212-live-france-president-emmanuel-macron-names-new-prime-minister-budget-crisis,french,2024-12-12,1.0
protestors,racism,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,french,2025-03-22,1.0
protestors,racism,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,german,2025-03-22,1.0
protestors,far right,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,french,2025-03-22,1.0
protestors,far right,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,german,2025-03-22,1.0
Emmanuel Macron,snap elections,leads,NEUTRAL,https://www.france24.com/en/france/20241231-macron-acknowledges-his-decision-to-call-snap-french-elections-caused-more-instability,french,2024-12-31,1.0
Emmanuel Macron,France,leads,NEUTRAL,https://www.france24.com/en/france/20250210-live-macron-speaks-on-the-future-of-ai-at-global-summit-in-paris,french,2025-02-10,1.0
France,Russia,accuses,HOSTILE,https://www.france24.com/en/video/20250429-france-accuses-russian-military-intelligence-of-cyberattacks,french,2025-04-29,1.0
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/europe/20250306-macron-will-discuss-extending-french-nuclear-protection-to-europe-with-allies-ukraine-russia-usa,french,2025-03-06,1.0
French voters,leftist coalition,supports,NEUTRAL,https://www.france24.com/en/france/20240704-2024-french-legislative-elections-results-of-the-second-round,french,2024-07-04,1.0
leftist coalition,far right,opposes,NEUTRAL,https://www.france24.com/en/france/20240704-2024-french-legislative-elections-results-of-the-second-round,french,2024-07-04,1.0
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/europe/20250305-watch-full-speech-macron-calls-for-major-european-rearmament,french,2025-03-05,1.0
Francois Bayrou,France,represents,NEUTRAL,https://www.france24.com/en/live-news/20250128-french-pm-sparks-outrage-with-immigration-flooding-remark,french,2025-01-28,1.0
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/video/20250305-europe-can-t-live-off-dividends-of-peace-says-macron-in-speech-calling-for-major-rearmament,french,2025-03-05,1.0
Donald Trump,Jean-Marie Le Pen,supports,FRIENDLY,https://www.france24.com/en/live-news/20250331-far-right-leaders-rally-around-france-s-le-pen-after-election-ban,french,2025-03-31,1.0
Elon Musk,Jean-Marie Le Pen,supports,FRIENDLY,https://www.france24.com/en/live-news/20250331-far-right-leaders-rally-around-france-s-le-pen-after-election-ban,french,2025-03-31,1.0
France,UK,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250417-france-uk-mull-migrant-swaps-in-bid-to-stem-channel-crossings,french,2025-04-17,1.0
Emmanuel Macron,Donald Trump,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250403-macron-calls-for-suspension-of-investment-in-us-until-tariffs-clarified,french,2025-04-03,1.0
Donald Trump,Europe,opposes,HOSTILE,https://www.france24.com/en/live-news/20250403-macron-calls-for-suspension-of-investment-in-us-until-tariffs-clarified,french,2025-04-03,1.0
Viktor Orban,Jean-Marie Le Pen,supports,NEUTRAL,https://www.france24.com/en/france/20250331-i-am-marine-europe-far-right-slams-le-pen-conviction-election-ban-orban-wilders,french,2025-03-31,1.0
Geert Wilders,Jean-Marie Le Pen,supports,NEUTRAL,https://www.france24.com/en/france/20250331-i-am-marine-europe-far-right-slams-le-pen-conviction-election-ban-orban-wilders,french,2025-03-31,1.0
Emmanuel Macron,France,represents,NEUTRAL,https://www.france24.com/en/europe/20250305-macron-to-give-televised-address-amid-uncertainty-and-large-challenges,french,2025-03-05,1.0
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/europe/20250301-macron-reopens-debate-on-european-nuclear-umbrella-after-trump-zelensky-showdown,french,2025-03-01,1.0
Emmanuel Macron,Ukraine,supports,NEUTRAL,https://www.france24.com/en/video/20250305-french-president-emmanuel-macron-to-deliver-speech-on-global-uncertainty,french,2025-03-05,1.0
CDU Sachsen-Anhalt,CDU,supports,NEUTRAL,https://www.zeit.de/news/2025-04/17/cdu-im-land-befragt-mitglieder-nicht-zum-koalitionsvertrag,german,2025-04-17,1.0
Berliner CDU,Koalitionsvertrag,supports,NEUTRAL,https://www.zeit.de/news/2025-04/17/cdu-im-land-befragt-mitglieder-nicht-zum-koalitionsvertrag,german,2025-04-17,1.0
CSU,Koalitionsvertrag,supports,NEUTRAL,https://www.zeit.de/news/2025-04/17/cdu-im-land-befragt-mitglieder-nicht-zum-koalitionsvertrag,german,2025-04-17,1.0
Winfried Hermann,Grünen,represents,NEUTRAL,https://www.zeit.de/news/2025-04/16/minister-will-zusaetzliche-massnahmen-zum-klimaschutz-vorlegen,german,2025-04-16,1.0
Verbände,Landesregierung,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/16/minister-will-zusaetzliche-massnahmen-zum-klimaschutz-vorlegen,german,2025-04-16,1.0
Sachverständigenrat der Landesregierung,Landesregierung,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/16/minister-will-zusaetzliche-massnahmen-zum-klimaschutz-vorlegen,german,2025-04-16,1.0
Jusos,Koalitionsvertrag,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/13/bayerische-jusos-gegen-koalitionsvertrag,german,2025-04-13,1.0
Benedict Lang,Koalitionsvertrag,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/13/bayerische-jusos-gegen-koalitionsvertrag,german,2025-04-13,1.0
CSU,Koalitionsvertrag,supports,NEUTRAL,https://www.zeit.de/news/2025-04/13/bayerische-jusos-gegen-koalitionsvertrag,german,2025-04-13,1.0
SPD,Koalitionsvertrag,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/13/bayerische-jusos-gegen-koalitionsvertrag,german,2025-04-13,1.0
Achim Post,Koalitionsvertrag,supports,FRIENDLY,https://www.zeit.de/news/2025-04/15/achim-post-wirbt-fuer-den-kompromiss-koalitionsvertrag,german,2025-04-15,1.0
Achim Post,CDU,supports,NEUTRAL,https://www.zeit.de/news/2025-04/15/achim-post-wirbt-fuer-den-kompromiss-koalitionsvertrag,german,2025-04-15,1.0
CDU,Koalitionsvertrag,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/achim-post-wirbt-fuer-den-kompromiss-koalitionsvertrag,german,2025-04-15,1.0
Kai Seefried,CDU,represents,NEUTRAL,https://www.zeit.de/wirtschaft/2025-04/lng-terminal-stade-erdgas-elbe-energie,german,2025-04-09,1.0
Kai Seefried,DET,criticizes,HOSTILE,https://www.zeit.de/wirtschaft/2025-04/lng-terminal-stade-erdgas-elbe-energie,german,2025-04-09,1.0
Olaf Lies,DET,supports,NEUTRAL,https://www.zeit.de/wirtschaft/2025-04/lng-terminal-stade-erdgas-elbe-energie,german,2025-04-09,1.0
HEH,DET,criticizes,HOSTILE,https://www.zeit.de/wirtschaft/2025-04/lng-terminal-stade-erdgas-elbe-energie,german,2025-04-09,1.0
Friedrich Merz,CDU,leads,NEUTRAL,https://www.zeit.de/news/2025-04/13/merz-will-asylbewerberzahl-unter-100-000-druecken,german,2025-04-13,1.0
Lars Klingbeil,Friedrich Merz,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/13/merz-will-asylbewerberzahl-unter-100-000-druecken,german,2025-04-13,1.0
Friedrich Merz,Österreich,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/13/merz-will-asylbewerberzahl-unter-100-000-druecken,german,2025-04-13,1.0
André Olveira-Lenz,Koalitionsvertrag,supports,FRIENDLY,https://www.zeit.de/news/2025-04/13/chemiebranche-schoepft-hoffnung-aus-koalitionsvertrag,german,2025-04-13,1.0
Björn Sucher,CDU,supports,FRIENDLY,https://www.zeit.de/news/2025-04/13/chemiebranche-schoepft-hoffnung-aus-koalitionsvertrag,german,2025-04-13,1.0
Björn Sucher,CSU,supports,FRIENDLY,https://www.zeit.de/news/2025-04/13/chemiebranche-schoepft-hoffnung-aus-koalitionsvertrag,german,2025-04-13,1.0
Björn Sucher,SPD,supports,FRIENDLY,https://www.zeit.de/news/2025-04/13/chemiebranche-schoepft-hoffnung-aus-koalitionsvertrag,german,2025-04-13,1.0
André Olveira-Lenz,EU,supports,FRIENDLY,https://www.zeit.de/news/2025-04/13/chemiebranche-schoepft-hoffnung-aus-koalitionsvertrag,german,2025-04-13,1.0
