,url,date,entity,entity_type
0,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Donald Trump,people
1,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Kamala Harris,people
2,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Marco Rubio,people
3,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Ted Cruz,people
4,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Hillary Clinton,people
5,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Karoline Leavitt,people
6,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Vladimir Putin,people
7,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Megyn Kelly,people
8,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Rosie O’Donnell,people
9,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Martha Raddatz,people
10,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Rachel Scott,people
11,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Karen Finney,people
12,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Carly Fiorina,people
13,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Sarah Isgur,people
14,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Jake Tapper,people
15,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Bill Clinton,people
16,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Lester Holt,people
17,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Philippe Reines,people
18,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Nick Merrill,people
19,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Chevaz Clarke,people
20,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Abraham Lincoln,people
22,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,President Biden,people
23,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,President Johnson,people
24,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Trump Tower,institutions
25,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Fox News,institutions
26,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,CNN,institutions
27,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,NBC News,institutions
28,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Rolling Stone,institutions
29,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Hewlett-Packard,institutions
30,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,The New York Times,institutions
31,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,National Association of Black Journalists,institutions
32,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,United States presidential elections,political_events
33,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,presidential candidacy,political_events
