news_org ,bias,factaulity,country,freedom_rank,media_type
 www.aljazeera.com,-3.2,4.7,Qatar,limited,TV station
 www.politico.eu,-2.8,1.3,USA,mostly free,Website
www.euronews.com,-2.5,2.1,France,mostly free,TV station
www.france24.com,-1.75,1,France,mostly free,TV station
 www.bbc.com,-2,0.8,UK,mostly free,TV station
 www.reuters.com,-0.5,0,UK,mostly free,News agency
 www.nbcnews.com,-3.6,1,USA,mostly free,TV station
 www.npr.org ,-2.8,0.9,USA,mostly free,Radio Station 
www.cnn.com,-3.6,3.7,USA,mostly free,TV station ; Website
 www.liberation.fr,-3.4,1.2,France,mostly free,Newspaper
 www.nytimes.com,-4.1,1.4,USA,mostly free,Newspaper
www.zeit.de ,-1.2,1.6,Germany,mostly free,Newspaper
www.lefigaro.fr ,4,1.3,France,mostly free,Newspaper
www.sueddeutsche.de,-3.5,1.7,Germany,mostly free,Newspaper
 www.tagesschau.de,-0.5,1.2,Germany,mostly free,TV station ; Website
 www.bild.de,3.5,4.7,Germany,mostly free,Newspaper
www.rfi.fr ,0.6,2.2,France,mostly free,Radio Station 
www.bfmtv.com,,,,,
www.spiegel.de,-5.7,1,Germany,mostly free,Website
www.lemonde.fr ,-3.4,1,France,mostly free,Newspaper
 www.faz.net,3.4,1.3,Germany,mostly free,Newspaper
www.washingtonpost.com ,-3.6,2.1,USA,mostly free,Newspaper
www.bloomberg.com,-2.4,2.2,USA,mostly free,TV station
apnews.com ,-2.1,0.8,USA,mostly free,News agency
observers.france.com,,,,,
france24.com ,,,,,
www.theguardian.com,-3.6,5.9,UK,mostly free,Newspaper
