source,target,relationship,sentiment,url,date
Biden,Ukraine,supports,NEUTRAL,https://www.nytimes.com/2024/09/12/us/politics/biden-ukraine-weapons.html,2024-09-12
Keir Starmer,Biden,partners with,NEUTRAL,https://www.nytimes.com/2024/09/12/us/politics/biden-ukraine-weapons.html,2024-09-12
Russia,Iran,supports,HOSTILE,https://www.nytimes.com/2024/09/12/us/politics/biden-ukraine-weapons.html,2024-09-12
Iran,American forces,accuses,HOSTILE,https://www.nytimes.com/2024/09/12/us/politics/biden-ukraine-weapons.html,2024-09-12
Biden,Russia,opposes,NEUTRAL,https://www.nytimes.com/2024/09/12/us/politics/biden-ukraine-weapons.html,2024-09-12
Donald J. Trump,women,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,President Biden,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Marco Rubio,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Ted Cruz,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Hillary Clinton,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Megyn Kelly,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Carly Fiorina,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Hillary Clinton,opposes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Karoline Leavitt,Donald J. Trump,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Vladimir Putin,accuses,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Hillary Clinton,Donald J. Trump,accuses,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Donald J. Trump,Bill Clinton,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Carly Fiorina,Donald J. Trump,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Hillary Clinton,Donald J. Trump,opposes,HOSTILE,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09
Kamala Harris,Mr. Trump,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11
Mr. Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11
Rob Rue,Springfield,leads,NEUTRAL,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Donald J. Trump,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
JD Vance,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Nathan Clark,JD Vance,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Ted Cruz,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Elon Musk,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Mike DeWine,Springfield,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Vilés Dorsainvil,Haitians,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Luke Schroeder,JD Vance,represents,NEUTRAL,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Luke Schroeder,Threats,opposes,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
National Justice Party,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
The Post Millennial,Nathan Clark,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Blaze Media,Nathan Clark,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Rob Rue,Haitians,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
Iran,Russia,supports,NEUTRAL,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
U.S.,Iran,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
U.S.,Russia,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
European,Iran,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
European,Russia,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
Volodymyr Zelensky,Ukraine,represents,NEUTRAL,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
